from,to
63110759,95561417
17742604,25083225
17742604,26450659
17742604,46651456
17742604,58919969
17742604,78934871
25083225,26450659
25083225,46651456
25083225,58919969
25083225,78934871
26450659,46651456
26450659,58919969
26450659,78934871
46651456,58919969
46651456,78934871
58919969,78934871
22681000,51743954
22681000,70864192
22681000,89760232
22681000,90032324
22681000,99268360
51743954,70864192
51743954,89760232
51743954,90032324
51743954,99268360
70864192,89760232
70864192,90032324
70864192,99268360
89760232,90032324
89760232,99268360
90032324,99268360
15416509,16395160
15416509,17650600
15416509,32998796
15416509,34691065
15416509,41671633
15416509,50117457
15416509,58233094
15416509,67026398
16395160,17650600
16395160,32998796
16395160,34691065
16395160,41671633
16395160,50117457
16395160,58233094
16395160,67026398
17650600,32998796
17650600,34691065
17650600,41671633
17650600,50117457
17650600,58233094
17650600,67026398
32998796,34691065
32998796,41671633
32998796,50117457
32998796,58233094
32998796,67026398
34691065,41671633
34691065,50117457
34691065,58233094
34691065,67026398
41671633,50117457
41671633,58233094
41671633,67026398
50117457,58233094
50117457,67026398
58233094,67026398
14252118,20256060
14252118,65576393
14252118,65722408
14252118,70235545
14252118,87042668
20256060,65576393
20256060,65722408
20256060,70235545
20256060,87042668
65576393,65722408
65576393,70235545
65576393,87042668
65722408,70235545
65722408,87042668
70235545,87042668
20304750,33218411
20304750,35348573
20304750,54143168
20304750,86416583
20304750,87435667
33218411,35348573
33218411,54143168
33218411,86416583
33218411,87435667
35348573,54143168
35348573,86416583
35348573,87435667
54143168,86416583
54143168,87435667
86416583,87435667
20143139,53883157
20143139,66518352
20143139,85961099
20143139,89237939
20143139,99286400
53883157,66518352
53883157,85961099
53883157,89237939
53883157,99286400
66518352,85961099
66518352,89237939
66518352,99286400
85961099,89237939
85961099,99286400
89237939,99286400
14116376,27169390
14116376,27975203
14116376,31471133
14116376,35044672
14116376,39253597
14116376,52513305
14116376,54318362
14116376,54379409
14116376,58327330
14116376,69171399
14116376,69207251
14116376,84910850
14116376,85012932
14116376,88621662
14116376,99963870
27169390,27975203
27169390,31471133
27169390,35044672
27169390,39253597
27169390,52513305
27169390,54318362
27169390,54379409
27169390,58327330
27169390,69171399
27169390,69207251
27169390,84910850
27169390,85012932
27169390,88621662
27169390,99963870
27975203,31471133
27975203,35044672
27975203,39253597
27975203,52513305
27975203,54318362
27975203,54379409
27975203,58327330
27975203,69171399
27975203,69207251
27975203,84910850
27975203,85012932
27975203,88621662
27975203,99963870
31471133,35044672
31471133,39253597
31471133,52513305
31471133,54318362
31471133,54379409
31471133,58327330
31471133,69171399
31471133,69207251
31471133,84910850
31471133,85012932
31471133,88621662
31471133,99963870
35044672,39253597
35044672,52513305
35044672,54318362
35044672,54379409
35044672,58327330
35044672,69171399
35044672,69207251
35044672,84910850
35044672,85012932
35044672,88621662
35044672,99963870
39253597,52513305
39253597,54318362
39253597,54379409
39253597,58327330
39253597,69171399
39253597,69207251
39253597,84910850
39253597,85012932
39253597,88621662
39253597,99963870
52513305,54318362
52513305,54379409
52513305,58327330
52513305,69171399
52513305,69207251
52513305,84910850
52513305,85012932
52513305,88621662
52513305,99963870
54318362,54379409
54318362,58327330
54318362,69171399
54318362,69207251
54318362,84910850
54318362,85012932
54318362,88621662
54318362,99963870
54379409,58327330
54379409,69171399
54379409,69207251
54379409,84910850
54379409,85012932
54379409,88621662
54379409,99963870
58327330,69171399
58327330,69207251
58327330,84910850
58327330,85012932
58327330,88621662
58327330,99963870
69171399,69207251
69171399,84910850
69171399,85012932
69171399,88621662
69171399,99963870
69207251,84910850
69207251,85012932
69207251,88621662
69207251,99963870
84910850,85012932
84910850,88621662
84910850,99963870
85012932,88621662
85012932,99963870
88621662,99963870
21626519,32926084
21626519,33296153
21626519,43889797
21626519,50066854
21626519,55187179
21626519,72337287
21626519,79219433
21626519,86480720
21626519,95889162
21626519,96895135
32926084,33296153
32926084,43889797
32926084,50066854
32926084,55187179
32926084,72337287
32926084,79219433
32926084,86480720
32926084,95889162
32926084,96895135
33296153,43889797
33296153,50066854
33296153,55187179
33296153,72337287
33296153,79219433
33296153,86480720
33296153,95889162
33296153,96895135
43889797,50066854
43889797,55187179
43889797,72337287
43889797,79219433
43889797,86480720
43889797,95889162
43889797,96895135
50066854,55187179
50066854,72337287
50066854,79219433
50066854,86480720
50066854,95889162
50066854,96895135
55187179,72337287
55187179,79219433
55187179,86480720
55187179,95889162
55187179,96895135
72337287,79219433
72337287,86480720
72337287,95889162
72337287,96895135
79219433,86480720
79219433,95889162
79219433,96895135
86480720,95889162
86480720,96895135
95889162,96895135
43768908,94485968
18457447,18909880
18457447,43158696
18457447,89781911
18457447,99365527
18909880,43158696
18909880,89781911
18909880,99365527
43158696,89781911
43158696,99365527
89781911,99365527
39433648,43042937
39433648,60670603
39433648,67355648
39433648,69020642
43042937,60670603
43042937,67355648
43042937,69020642
60670603,67355648
60670603,69020642
67355648,69020642
37548749,38225056
37548749,48484722
