"from","to"
59399240,542586
76343121,542586
81003273,542586
87243668,542586
90326364,542586
90648238,542586
95425017,542586
97716803,542586
98110937,542586
29728603,545079
37433890,545079
23192030,559198
27719754,559198
30407538,559198
54581329,559198
39613940,560419
58233094,560419
39108817,563623
68454489,563623
26451195,564948
72963367,564948
74808839,564948
99679703,564948
68454489,573992
92856880,573992
30407538,574083
55360959,574083
86783299,574083
90226032,574083
26340893,576299
88585503,576299
97670495,576299
30407538,577514
32013479,577514
14817624,587000
26342005,587000
46821111,587000
55360959,587000
92151005,592307
55187179,601571
55187179,601571
56034484,601571
68454489,601571
80999514,601571
88336017,601571
93617957,601571
26244251,601874
36428007,601874
44922036,601874
70318894,601874
95405394,601874
30407538,603914
37784142,603914
88336017,603914
30407538,611025
65026743,611025
73797754,611025
14817624,614209
26342005,614209
55360959,614209
76343121,614209
36428007,620612
52653703,620612
56708515,620612
63909204,620612
65749424,620612
68454489,620612
70318894,620612
76167198,620612
79772585,620612
80663477,620612
68454489,621431
23192030,625348
50627686,625348
54499417,625348
81003273,625348
54499417,625505
85915387,625505
14817624,628813
53542119,628813
65722489,628813
66003097,628813
97670495,631953
97670495,631953
30407538,633178
84670996,633178
31517511,633776
54499417,633776
40786083,640752
58233094,640752
89170517,640752
17991501,640866
65547188,640866
68454489,640866
97670495,644073
97670495,644073
40786083,645902
49343429,645902
58233094,645902
73321207,645902
97670495,646397
97670495,647738
97670495,647738
35996630,649736
33359265,650303
52653703,650303
68454489,650303
79772585,650303
79772585,650303
87591488,650303
77795114,652205
29339990,657878
45986830,657878
46969237,657878
22372749,658857
29511878,658857
36727782,658857
58233094,658857
70309809,658857
79772585,658857
88248890,658857
89564104,658857
91368879,658857
98775027,658857
28942203,659583
30407538,659583
34437873,659583
38920288,659583
47473668,659583
54581329,659583
58866748,659583
68295232,659583
26642353,664647
36428007,664647
70233551,664647
85697487,664647
85706014,664647
22372749,665244
28066843,665244
49153402,665244
70318894,665244
60431527,669179
87700673,674590
68454489,676073
76167198,676073
17300961,679309
70318894,679309
85478689,679309
26320225,681541
35996630,681541
68454489,681541
92151005,681541
63344198,688120
88585503,688120
97670495,688120
97670495,688120
26340893,694919
97670495,694919
68454489,698455
39391756,699989
55870445,699989
70318894,699989
92151005,699989
93296671,699989
14817624,702330
73947776,702330
94991333,702330
77795114,702445
88585503,706921
97670495,706921
97670495,706921
54499417,707001
14817624,712876
26342005,712876
55360959,712876
79176333,712876
91805536,712876
94511957,712876
46878499,719048
63344198,719048
78180144,719048
82532054,719048
82532054,719048
97670495,719048
24766482,725685
56340311,725685
68454489,725685
91744306,725685
77795114,725868
14603975,727936
40458265,727936
58341008,727936
66749136,727936
70318894,727936
37637352,728051
50379151,728051
58233094,728051
14817624,730912
55360959,730912
17300961,733225
22701711,733225
32427836,733225
37306764,733225
39108817,733225
65435968,733225
67946093,733225
68454489,733225
80663477,733225
85478689,733225
87591488,733225
91368879,733225
95405394,733225
99365527,733225
17300961,747533
19242451,747533
19638872,747533
22273594,747533
22372749,747533
27329343,747533
28738958,747533
28916522,747533
29511878,747533
30621101,747533
33359265,747533
37784142,747533
40070800,747533
40326129,747533
41579687,747533
44532410,747533
45392482,747533
45986830,747533
47459630,747533
48119858,747533
49991169,747533
50070388,747533
50632751,747533
50984631,747533
54581329,747533
55187179,747533
55187179,747533
55589090,747533
55793695,747533
68454489,747533
71846604,747533
74896622,747533
76698918,747533
77133030,747533
89562352,747533
92686928,747533
93979016,747533
95355210,747533
98775027,747533
39108817,754879
68454489,754879
76343121,756766
92856880,756766
54977933,759251
58233094,759251
89170517,759251
91128640,759251
36428007,761012
44207227,761012
44922036,761012
11213945,762754
19638872,763428
45392482,763428
13561646,764834
13561646,764834
15259445,764834
17300961,764834
18797839,764834
21648930,764834
23820000,764834
24215729,764834
29705789,764834
30327814,764834
30483914,764834
31512608,764834
33868824,764834
33943990,764834
41088550,764834
42207744,764834
48094348,764834
50243699,764834
52125232,764834
52811724,764834
53181317,764834
55797810,764834
56185396,764834
57943081,764834
60245706,764834
62144110,764834
62439051,764834
63276540,764834
70247785,764834
75384546,764834
76282315,764834
77795114,764834
85478689,764834
87243668,764834
90326364,764834
92452327,764834
98229284,764834
98473661,764834
19718652,768166
21967828,768166
30407538,768166
34437873,768166
48891962,768166
54499417,768166
54499417,768166
58866748,768166
84670996,768166
88336017,768166
95665204,768166
61044916,768344
21942067,771235
22926416,771235
30407538,771235
37784142,771235
47834074,771235
58866748,771235
95355210,771235
77795114,781621
30407538,782590
55360959,782590
90226032,782590
13910940,789819
36428007,789819
55187179,789819
68454489,789819
88336017,789819
95405394,789819
22372749,797754
56034484,797754
26120352,801286
27795888,801286
42387028,801286
54499417,801286
55187179,803183
55187179,803183
56034484,803183
80999514,803183
70318894,805238
90068471,805238
77795114,806073
77795114,806073
28738958,810313
30407538,810313
54581329,810313
44105450,812330
51653897,812330
56721313,812330
77795114,812330
65435968,815710
13224469,826588
49343429,826588
58233094,826588
89170517,826588
19638872,827362
22253048,827362
69026915,827362
32193502,828008
78997086,828008
12568610,829648
49446368,829648
66451506,829648
92856880,829648
30407538,832782
32013479,832782
14817624,838807
29843366,846652
40326129,846652
50623665,846652
63408863,846652
67745551,846652
68454489,846652
78180144,846652
85641797,846652
91072802,846652
95406124,846652
55187179,847979
30407538,850305
56034484,850642
98148260,850642
30407538,852734
66716073,852734
77795114,862147
54499417,863086
77795114,869350
54499417,870365
68454489,870365
54499417,885304
97670495,890225
97670495,890225
14817624,893875
26342005,893875
49610905,893875
73307117,893875
77097931,893875
30407538,894341
60148545,894341
65317644,894341
91352307,894341
18007899,895194
56034484,895194
98148260,895194
19768805,896695
29370717,896695
30407538,896695
43884519,896695
54178386,896695
95867087,896695
77795114,900430
77795114,903702
19639353,905813
36428007,905813
55337859,905813
76167198,905813
81786442,905813
55187179,906679
55187179,906679
76343121,906679
76698918,906679
78595227,906679
87700673,906679
96822852,906679
39108817,910425
68454489,910425
39433648,911096
44241712,911096
57829129,911096
68454489,911096
85623100,911096
89534144,911096
92996508,911096
98621483,911096
65468552,920044
81786442,920044
22061706,923589
70318894,923589
26340893,925968
97670495,925968
97670495,925968
14817624,930939
56832536,936558
31369531,939376
44532410,939376
67946093,939376
70318894,939376
70318894,939376
90144202,939376
93296671,939376
95405394,939376
95405394,939376
77795114,949648
30407538,950837
65317644,950837
80940819,950837
11055140,951969
14932602,951969
17613163,951969
36428007,951969
40458265,951969
56708515,951969
61570440,951969
69465338,951969
16011892,952253
34513296,952253
34513296,952253
48625576,952253
52111813,952253
52491248,952253
97670495,952253
97670495,953774
97670495,953774
14817624,960510
18007899,962295
55187179,962295
55187179,962295
56034484,962295
80999514,962295
88336017,962295
77795114,964226
35996630,964747
92151005,964747
54977933,965924
55187179,965924
55187179,965924
56034484,965924
62306091,965924
66800139,965924
73948861,965924
89562352,965924
16011892,974108
34513296,974108
34513296,974108
53414185,974108
82126353,974108
97670495,974108
97670495,974108
77795114,974849
37352343,981383
37352343,981383
43986085,989337
14817624,990032
55360959,990032
66003097,990032
